Order_ID,Product_ID,Product_Category,Product_Price,Discount_Applied,Shipping_Method,Payment_Method,User_Location,Return_Status,Return_Risk_Score,Risk_Label,Return_Cost,Profit_Loss,Order_Year,Order_Month,User_Age,User_Gender,Return_Reason
ORD00000,PROD0169,Clothing,1720.71,30.46,Next-Day,Wallet,City27,Not Returned,0.5153,High,0,2393.163468,2022,1,57,Female,No Return
ORD00001,PROD0318,Toys,744.06,29.62,Next-Day,Wallet,City5,Returned,0.4222,Medium,200,2418.34714,2022,1,55,Female,Size Issue
ORD00002,PROD0427,Clothing,983.68,47.8,Express,Wallet,City11,Not Returned,0.588,High,0,2567.4048,2025,3,37,Female,No Return
ORD00003,PROD0323,Books,1855.65,2.9,Express,COD,City78,Not Returned,0.5263,High,0,3603.6723,2024,11,47,Female,No Return
ORD00004,PROD0325,Home Appliances,1770.97,44.42,Express,COD,City23,Returned,0.5544,High,200,4721.52563,2023,6,35,Female,Size Issue
ORD00005,PROD0490,Home Appliances,591.59,42.65,Express,COD,City20,Not Returned,0.5422,High,0,1696.3843250000002,2024,8,30,Female,No Return
ORD00006,PROD0203,Clothing,1486.38,42.68,Express,COD,City46,Returned,0.6024,High,200,651.993016,2022,12,55,Female,Size Issue
ORD00007,PROD0309,Home Appliances,867.83,32.64,Standard,Wallet,City23,Not Returned,0.4815,Medium,0,2922.8514400000004,2023,11,25,Female,No Return
ORD00008,PROD0477,Books,900.07,35.09,Express,Wallet,City94,Not Returned,0.5656,High,0,1168.470874,2023,2,63,Female,No Return
ORD00009,PROD0013,Clothing,841.45,29.24,Next-Day,Credit Card,City42,Returned,0.5179,High,200,395.41002,2023,7,35,Male,Changed Mind
ORD00010,PROD0272,Toys,878.28,4.55,Next-Day,Wallet,City31,Not Returned,0.3804,Medium,0,3353.27304,2023,8,45,Female,No Return
ORD00011,PROD0289,Clothing,1175.86,0.05,Express,Credit Card,City5,Returned,0.4504,Medium,200,4501.08828,2025,5,50,Male,Wrong Item
ORD00012,PROD0173,Clothing,496.15,15.37,Standard,COD,City71,Returned,0.485,Medium,200,1899.458725,2024,2,32,Female,Size Issue
ORD00013,PROD0340,Home Appliances,724.15,46.64,Next-Day,COD,City83,Not Returned,0.5536,High,0,1545.62576,2024,4,28,Female,No Return
ORD00014,PROD0051,Home Appliances,402.42,46.79,Next-Day,Credit Card,City46,Not Returned,0.492,Medium,0,856.5107280000001,2022,7,30,Male,No Return
ORD00015,PROD0216,Clothing,1028.52,17.98,Standard,Debit Card,City78,Not Returned,0.4867,Medium,0,843.5921040000001,2023,12,61,Male,No Return
ORD00016,PROD0078,Books,1007.44,22.33,Next-Day,COD,City9,Returned,0.5309,High,200,1364.9572960000005,2023,10,42,Male,Wrong Item
ORD00017,PROD0497,Clothing,1511.97,29.6,Next-Day,Debit Card,City66,Not Returned,0.5521,High,0,3193.2806399999995,2024,4,61,Female,No Return
ORD00018,PROD0091,Clothing,1407.13,26.76,Next-Day,Wallet,City50,Not Returned,0.5071,High,0,1030.582012,2024,9,27,Male,No Return
ORD00019,PROD0313,Electronics,118.47,30.4,Standard,COD,City36,Not Returned,0.5012,High,0,247.36535999999995,2024,5,59,Male,No Return
ORD00020,PROD0453,Home Appliances,677.02,24.19,Next-Day,Credit Card,City69,Not Returned,0.4484,Medium,0,1539.746586,2022,12,63,Male,No Return
ORD00021,PROD0080,Toys,489.24,34.18,Express,Credit Card,City19,Returned,0.4231,Medium,200,1410.08884,2022,4,51,Male,Defective
