Order_ID,Product_ID,Product_Category,Product_Price,Discount_Applied,Shipping_Method,Payment_Method,User_Location,Return_Status,Return_Risk_Score,Risk_Label,Return_Cost,Profit_Loss,Order_Year,Order_Month,User_Age,User_Gender,Return_Reason
ORD02330,PROD0490,Books,1210.94,48.49,Express,COD,City58,Not Returned,0.6573,High,0,623.7551940000001,2025,5,23,Female,No Return
ORD01264,PROD0312,Books,1244.23,42.7,Next-Day,COD,City20,Not Returned,0.6523,High,0,712.9437899999999,2025,8,62,Female,No Return
ORD04942,PROD0332,Books,1632.26,49.75,Express,COD,City35,Not Returned,0.6471,High,0,2460.6319499999995,2025,1,21,Female,No Return
ORD00707,PROD0083,Books,1366.54,46.44,Next-Day,COD,City87,Returned,0.647,High,200,1995.756472,2024,12,35,Female,Defective
ORD02360,PROD0321,Books,1693.75,43.51,Next-Day,COD,City17,Not Returned,0.6468,High,0,956.799375,2024,12,48,Female,No Return
ORD01048,PROD0261,Books,1525.06,44.57,Express,COD,City3,Not Returned,0.644,High,0,3381.363032,2025,6,42,Female,No Return
ORD01039,PROD0273,Books,129.01,46.65,Standard,Wallet,City66,Not Returned,0.6404,High,0,68.826835,2025,7,64,Female,No Return
ORD00811,PROD0373,Books,843.33,47.35,Express,COD,City13,Not Returned,0.6403,High,0,888.02649,2024,7,19,Female,No Return
ORD02664,PROD0041,Books,1485.16,46.2,Standard,COD,City56,Not Returned,0.6399,High,0,3196.0643200000004,2024,9,47,Female,No Return
ORD00794,PROD0143,Clothing,455.58,48.59,Next-Day,COD,City43,Returned,0.6393,High,200,268.427356,2025,8,42,Female,Changed Mind
ORD03435,PROD0200,Books,1314.66,46.9,Express,Debit Card,City74,Not Returned,0.6378,High,0,1396.16892,2025,5,46,Female,No Return
ORD00618,PROD0029,Clothing,512.69,48.76,Next-Day,Credit Card,City3,Returned,0.6372,High,200,62.70235600000001,2025,8,31,Female,Size Issue
ORD02833,PROD0447,Books,1645.28,47.84,Next-Day,Credit Card,City9,Not Returned,0.6368,High,0,1716.3560959999998,2024,4,59,Female,No Return
ORD00297,PROD0377,Clothing,1992.81,46.8,Express,COD,City28,Returned,0.6357,High,200,1920.34984,2025,7,36,Female,Wrong Item
ORD02103,PROD0345,Clothing,1662.24,46.35,Standard,COD,City30,Not Returned,0.6357,High,0,2675.37528,2025,8,59,Female,No Return
ORD03609,PROD0257,Clothing,1587.71,48.23,Standard,COD,City82,Returned,0.6343,High,200,621.9574670000001,2025,5,34,Female,Changed Mind
ORD00051,PROD0225,Books,1367.73,49.26,Standard,Wallet,City68,Returned,0.6341,High,200,493.98620200000016,2024,9,49,Female,Size Issue
ORD02079,PROD0123,Books,161.99,49.76,Next-Day,COD,City37,Not Returned,0.6339,High,0,406.91888,2024,11,61,Female,No Return
ORD01043,PROD0204,Books,1661.67,42.16,Express,COD,City63,Not Returned,0.6339,High,0,3844.439712,2025,4,33,Female,No Return
ORD02140,PROD0176,Books,1510.18,41.13,Standard,Credit Card,City98,Not Returned,0.6338,High,0,1778.0859320000002,2025,8,52,Female,No Return
ORD04694,PROD0195,Books,543.51,46.1,Next-Day,Credit Card,City74,Not Returned,0.6334,High,0,585.9037799999999,2024,7,52,Female,No Return
ORD02745,PROD0348,Clothing,715.2,48.62,Standard,COD,City65,Not Returned,0.6324,High,0,1102.4092800000003,2024,12,64,Female,No Return
ORD01522,PROD0159,Books,412.54,45.83,Standard,COD,City66,Not Returned,0.6313,High,0,670.4187540000001,2025,1,52,Female,No Return
ORD03478,PROD0192,Books,1700.64,48.05,Standard,Credit Card,City50,Not Returned,0.631,High,0,3533.9299200000005,2023,11,46,Female,No Return
ORD03292,PROD0136,Books,612.52,44.39,Standard,Debit Card,City36,Not Returned,0.6305,High,0,340.62237200000004,2025,5,36,Female,No Return
ORD04084,PROD0430,Books,1070.82,46.02,Express,COD,City45,Returned,0.63,High,200,2112.114544,2024,5,49,Female,Wrong Item
ORD04551,PROD0077,Clothing,885.23,49.76,Express,Credit Card,City2,Returned,0.6299,High,200,244.73955199999995,2024,7,45,Female,Defective
ORD01654,PROD0490,Clothing,1751.45,49.84,Express,Credit Card,City22,Not Returned,0.6298,High,0,1757.0546400000003,2025,3,44,Female,No Return
ORD03534,PROD0081,Clothing,1916.38,46.1,Express,COD,City65,Returned,0.6295,High,200,832.9288199999999,2025,4,41,Female,Defective
ORD02599,PROD0108,Clothing,682.71,49.8,Standard,Credit Card,City93,Not Returned,0.6295,High,0,342.72042000000005,2025,2,42,Female,No Return
ORD01006,PROD0014,Books,1404.1,44.23,Standard,COD,City33,Not Returned,0.6294,High,0,2349.19971,2023,12,42,Female,No Return
ORD04771,PROD0041,Books,1761.07,49.43,Standard,Credit Card,City18,Not Returned,0.6288,High,0,1781.146198,2023,6,43,Female,No Return
ORD00326,PROD0343,Books,1687.71,46.39,Express,Debit Card,City27,Not Returned,0.6283,High,0,2714.343993,2023,12,61,Female,No Return
ORD04273,PROD0055,Clothing,915.7,48.96,Next-Day,Credit Card,City41,Not Returned,0.6271,High,0,467.37328,2024,9,32,Female,No Return
ORD00677,PROD0078,Clothing,1814.45,44.02,Express,COD,City77,Not Returned,0.6271,High,0,1015.72911,2025,7,31,Female,No Return
ORD02582,PROD0044,Clothing,1327.5,49.42,Express,Credit Card,City64,Not Returned,0.6266,High,0,671.4495000000001,2023,12,51,Female,No Return
ORD04357,PROD0404,Clothing,1579.14,44.98,Express,Credit Card,City29,Not Returned,0.6263,High,0,868.842828,2025,7,49,Female,No Return
ORD03410,PROD0383,Books,1013.48,38.1,Express,Credit Card,City48,Not Returned,0.6241,High,0,627.34412,2024,12,43,Female,No Return
ORD03266,PROD0258,Books,1504.12,45.36,Standard,Debit Card,City55,Returned,0.6238,High,200,3909.25584,2024,12,41,Female,Wrong Item
ORD00647,PROD0105,Clothing,1607.73,48.88,Next-Day,Credit Card,City67,Returned,0.6214,High,200,2265.614728,2024,10,30,Female,Defective
ORD01361,PROD0175,Books,171.43,48.82,Next-Day,Debit Card,City36,Returned,0.6206,High,200,63.21362199999999,2024,6,46,Female,Defective
ORD03968,PROD0076,Books,1592.22,50.0,Next-Day,Debit Card,City21,Not Returned,0.6203,High,0,3980.55,2023,9,40,Female,No Return
ORD01178,PROD0316,Clothing,1646.58,44.73,Standard,Credit Card,City18,Returned,0.6193,High,200,2530.194298,2024,12,61,Female,Changed Mind
ORD04903,PROD0388,Clothing,1604.34,44.34,Express,Credit Card,City42,Returned,0.6188,High,200,2478.926932,2024,12,52,Female,Defective
ORD03165,PROD0201,Books,1780.73,42.13,Standard,Wallet,City68,Returned,0.6187,High,200,3922.033804,2024,12,65,Female,Defective
ORD04143,PROD0383,Clothing,1854.73,41.7,Next-Day,COD,City9,Returned,0.6184,High,200,5206.537949999999,2024,10,63,Female,Changed Mind
ORD00484,PROD0314,Clothing,1732.07,40.81,Next-Day,COD,City69,Not Returned,0.6176,High,0,4100.848932,2025,6,57,Female,No Return
ORD02771,PROD0359,Clothing,1531.75,47.87,Express,Debit Card,City80,Not Returned,0.6175,High,0,1597.0025500000004,2025,6,26,Female,No Return
ORD02507,PROD0415,Books,1673.44,49.62,Standard,Credit Card,City64,Not Returned,0.6174,High,0,2529.237216,2023,1,44,Female,No Return
ORD02530,PROD0382,Books,779.93,49.39,Express,Debit Card,City85,Not Returned,0.6173,High,0,1184.167719,2025,8,58,Male,No Return
ORD03774,PROD0186,Books,1721.64,44.03,Next-Day,Credit Card,City33,Returned,0.617,High,200,2690.805724,2024,3,31,Female,Size Issue
ORD00396,PROD0294,Clothing,813.04,45.85,Express,COD,City13,Returned,0.6168,High,200,240.26116,2024,1,56,Female,Wrong Item
ORD00423,PROD0302,Books,1319.02,42.37,Standard,Debit Card,City21,Not Returned,0.6168,High,0,1520.302452,2024,9,43,Female,No Return
ORD04281,PROD0492,Clothing,1948.08,46.59,Next-Day,Debit Card,City30,Returned,0.6166,High,200,5002.34764,2025,6,49,Female,Defective
ORD04309,PROD0233,Clothing,1560.68,45.53,Next-Day,COD,City30,Not Returned,0.6164,High,0,2550.307188,2024,6,50,Female,No Return
ORD01717,PROD0256,Clothing,1281.11,48.75,Next-Day,Debit Card,City84,Not Returned,0.6158,High,0,3282.844374999999,2025,7,63,Female,No Return
ORD01719,PROD0293,Books,1280.01,45.01,Next-Day,COD,City84,Not Returned,0.6158,High,0,2815.509996,2023,8,19,Female,No Return
ORD03299,PROD0161,Clothing,172.96,47.33,Express,Debit Card,City57,Not Returned,0.6156,High,0,182.196064,2025,5,48,Female,No Return
ORD03380,PROD0141,Books,101.47,48.59,Standard,Wallet,City76,Returned,0.6153,High,200,-147.834273,2024,12,63,Male,Size Issue
ORD00269,PROD0185,Clothing,1649.82,41.51,Express,COD,City21,Not Returned,0.6151,High,0,964.979718,2025,4,36,Female,No Return
